time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-27T07:55:43.720Z,37.5273323,-118.8288345,5.67,1.05,md,11,189,0.06259,0.02,nc,nc72744060,2016-12-27T07:57:24.299Z,"18km SE of Mammoth Lakes, California",earthquake,0.59,1.1,0.2,10,automatic,nc,nc
2016-12-27T07:51:44.840Z,38.7571678,-122.7258301,2.13,1.4,md,12,85,0.01742,0.04,nc,nc72744055,2016-12-27T07:53:24.751Z,"3km SE of The Geysers, California",earthquake,0.29,0.63,0.23,6,automatic,nc,nc
2016-12-27T07:35:08.280Z,33.5931667,-117.9338333,11.91,1.77,ml,31,107,0.09139,0.23,ci,ci37771616,2016-12-27T07:46:11.170Z,"3km S of Newport Beach, CA",earthquake,0.52,0.55,0.126,27,automatic,ci,ci
2016-12-27T07:07:50.870Z,32.7886667,-115.4618333,7.77,1.81,ml,21,78,0.02089,0.21,ci,ci37771608,2016-12-27T07:11:43.364Z,"8km WSW of Holtville, CA",earthquake,0.5,0.7,0.176,27,automatic,ci,ci
2016-12-27T06:41:29.640Z,35.968,-117.5886667,2.94,1.85,ml,22,66,0.05394,0.19,ci,ci37771600,2016-12-27T06:45:15.115Z,"28km NW of Searles Valley, CA",earthquake,0.32,0.96,0.166,25,automatic,ci,ci
2016-12-27T06:37:14.841Z,60.3371,-152.1385,73.1,1.8,ml,,,,0.1,ak,ak14797894,2016-12-27T06:46:51.425Z,"37km ESE of Redoubt Volcano, Alaska",earthquake,,1.3,,,automatic,ak,ak
2016-12-27T06:15:30.711Z,59.8158,-152.6873,87.2,2.1,ml,,,,0.85,ak,ak14797881,2016-12-27T06:27:05.661Z,"48km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-12-27T06:14:36.971Z,59.3474,-152.89,78.9,2.3,ml,,,,0.56,ak,ak14797878,2016-12-27T06:22:21.054Z,"76km SW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-12-27T06:12:39.010Z,61.5801,-152.4287,0,2.5,ml,,,,0.77,ak,ak14797874,2016-12-27T06:31:49.613Z,"116km NNW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-12-27T06:10:39.470Z,34.4028333,-116.4746667,2,1.62,ml,28,72,0.1198,0.18,ci,ci37771584,2016-12-27T06:14:29.516Z,"32km N of Yucca Valley, CA",earthquake,0.28,0.56,0.181,27,automatic,ci,ci
2016-12-27T05:53:59.300Z,35.7318333,-117.6595,9.48,1.23,ml,15,101,0.08389,0.15,ci,ci37771536,2016-12-27T05:57:39.307Z,"12km N of Ridgecrest, CA",earthquake,0.31,0.75,0.167,17,automatic,ci,ci
2016-12-27T05:12:34.623Z,61.9673,-146.8814,34.7,1.9,ml,,,,0.76,ak,ak14797415,2016-12-27T05:25:17.737Z,"71km WSW of Glennallen, Alaska",earthquake,,0.1,,,automatic,ak,ak
2016-12-27T05:11:16.900Z,35.7098333,-117.6238333,11.51,1.36,ml,11,250,0.1046,0.12,ci,ci37771512,2016-12-27T05:14:56.144Z,"11km NNE of Ridgecrest, CA",earthquake,0.54,0.52,0.123,21,automatic,ci,ci
2016-12-27T04:49:28.659Z,59.2502,-136.6127,0,2.2,ml,,,,0.45,ak,ak14797414,2016-12-27T04:55:55.354Z,"66km W of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-12-27T04:34:27.649Z,61.3761,-150.9509,67.8,1.7,ml,,,,0.19,ak,ak14797412,2016-12-27T04:43:05.790Z,"55km WSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2016-12-27T03:57:14.380Z,62.3424,-151.6122,83.2,1.5,ml,,,,0.39,ak,ak14797411,2016-12-27T04:04:17.029Z,"77km W of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2016-12-27T03:48:52.910Z,60.1772,-141.0973,17.3,1.9,ml,,,,0.34,ak,ak14797405,2016-12-27T03:59:32.663Z,"75km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-12-27T03:46:30.360Z,61.7061,-148.3073,47.4,2.8,ml,,,,1,ak,ak14797399,2016-12-27T03:55:18.573Z,"30km ESE of Sutton-Alpine, Alaska",earthquake,,1.8,,,automatic,ak,ak
2016-12-27T03:46:24.148Z,62.9786,-148.8189,69.1,3.5,ml,,,,0.55,ak,ak14797394,2016-12-27T04:04:16.671Z,"46km S of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2016-12-27T03:41:13.040Z,61.9012,-148.2563,28.8,1.7,ml,,,,0.95,ak,ak14797392,2016-12-27T03:50:34.682Z,"33km ENE of Sutton-Alpine, Alaska",earthquake,,0.1,,,automatic,ak,ak
2016-12-27T03:12:25.860Z,33.5101667,-116.547,8.48,1.33,ml,50,59,0.04863,0.17,ci,ci37771504,2016-12-27T03:23:05.100Z,"13km ESE of Anza, CA",earthquake,0.2,0.35,0.192,27,automatic,ci,ci
2016-12-27T02:51:59.180Z,33.3638333,-117.4968333,62.89,1.6,ml,6,252,0.1928,0.14,ci,ci37771480,2016-12-27T02:55:47.725Z,"13km ESE of San Clemente, CA",earthquake,2.13,2.31,0.334,34,automatic,ci,ci
2016-12-27T02:30:23.890Z,-10.1135,161.0343,41.51,5.4,mb,,59,1.263,1.01,us,us10007myr,2016-12-27T02:46:19.040Z,"104km WNW of Kirakira, Solomon Islands",earthquake,7.8,5.2,0.072,66,reviewed,us,us
2016-12-27T02:24:48.360Z,33.0385,-116.4153333,4.07,1.07,ml,28,105,0.1462,0.18,ci,ci37771464,2016-12-27T02:35:38.360Z,"18km ESE of Julian, CA",earthquake,0.33,1.04,0.153,27,automatic,ci,ci
2016-12-27T02:08:15.750Z,33.613,-117.004,29.51,1.57,ml,15,105,0.2011,0.34,ci,ci37771432,2016-12-27T02:12:02.033Z,"13km SE of Winchester, CA",earthquake,1.45,1.97,0.377,21,automatic,ci,ci
2016-12-27T01:50:28.390Z,38.8175011,-122.7641678,1.65,1.13,md,16,74,0.01358,0.03,nc,nc72743965,2016-12-27T02:06:03.193Z,"3km W of Cobb, California",earthquake,0.28,0.5,0.13,5,automatic,nc,nc
2016-12-27T01:31:23.910Z,38.8888321,-122.8688354,2.63,1.61,md,19,140,0.01672,0.03,nc,nc72743960,2016-12-27T01:47:02.143Z,"10km SSW of Kelseyville, California",earthquake,0.3,0.59,0.17,7,automatic,nc,nc
2016-12-27T00:52:49.396Z,62.1906,-150.0527,19.9,1.7,ml,,,,0.29,ak,ak14796485,2016-12-27T01:02:45.224Z,"11km WNW of Y, Alaska",earthquake,,0.7,,,automatic,ak,ak
2016-12-27T00:45:12.960Z,-43.3673,-74.2934,22.76,4.3,mwr,,223,0.524,0.7,us,us10007mym,2016-12-27T01:56:03.996Z,"61km WSW of Puerto Quellon, Chile",earthquake,5.7,2.9,0.061,26,reviewed,us,us
2016-12-27T00:26:21.967Z,60.153,-141.1675,3.3,2.8,ml,,,,0.68,ak,ak14796470,2016-12-27T00:49:08.040Z,"70km E of Cape Yakataga, Alaska",earthquake,,0.1,,,automatic,ak,ak
2016-12-27T00:21:11.579Z,60.181,-141.1281,0,1.8,ml,,,,0.84,ak,ak14796466,2016-12-27T00:33:02.834Z,"73km E of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-27T00:18:38.100Z,59.8109,-153.2708,123,2.4,ml,,,,0.81,ak,ak14796461,2016-12-27T00:28:18.895Z,"80km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-27T00:17:33.740Z,29.492,105.7638,10,4.9,mb,,86,9.892,0.62,us,us10007myh,2016-12-27T07:43:04.714Z,"20km NW of Yongchuan, China",earthquake,9.9,1.9,0.059,90,reviewed,us,us
